DemandAggregatedForecast,WindAggregatedForecast,MULTI_FUEL_-24,GAS_-24,,,GasPrice,CarbonPrice,cost
4243,3433.68,-3139.3,-739,,,46.64,27.32,47.5004
3940,3434.59,-3203.5,-618,,,48.18,27.32,48.717
3629,3438.62,-3196,-618,,,48.18,27.32,48.717
3503,3429.7,-3196,-619,,,48.18,27.32,48.717
3353,3393.97,-3209.5,-619,,,48.18,27.32,48.717
3244,3372.72,-3261.9,-619,,,48.18,27.32,48.717
3162,3342.36,-3188.9,-619,,,48.18,27.32,48.717
3162,3340.14,-3244.7,-619,,,48.18,27.32,48.717
3220,3322.77,-3405.6,-619,,,48.18,27.32,48.717
3308,3313.37,-3414.9,-620,,,48.18,27.32,48.717
3640,3308.47,-3413.9,-620,,,48.18,27.32,48.717
4030,3328.87,-3413.9,-620,,,48.18,27.32,48.717
4279,3333,-3412.9,-619,,,48.18,27.32,48.717
4416,3357.11,-3407.7,-618,,,48.18,27.32,48.717
4456,3354.45,-3392.1,-617,,,48.18,27.32,48.717
4553,3367.12,-3365,-617,,,48.18,27.32,48.717
4390,3347.67,-3327.9,-616,,,48.18,27.32,48.717
4248,3338.13,-3276.8,-616,,,48.18,27.32,48.717
4270,3298.72,-3240.1,-615,,,48.18,27.32,48.717
4455,3261.43,-3225.9,-614,,,48.18,27.32,48.717
4580,3206.08,-3205.3,-615,,,48.18,27.32,48.717
4568,3177.91,-3226.9,-616,,,48.18,27.32,48.717
4584,3138.65,-3169.7,-617,,,48.18,27.32,48.717
4740,3130.35,-3142.6,-617,,,48.18,27.32,48.717
4312,3148.42,-3134.8,-617,,,48.18,27.32,48.717
3742,3095.89,-3109.3,-617,,,44.35,27.32,45.6913
3494,3263.25,-3147.9,-618,,,44.35,27.32,45.6913
3376,3454.86,-3147.9,-618,,,44.35,27.32,45.6913
3254,3585.27,-3147.9,-618,,,44.35,27.32,45.6913
3203,3702.71,-3147.9,-618,,,44.35,27.32,45.6913
3125,3773.99,-3147.9,-618,,,44.35,27.32,45.6913
3213,3828.14,-3147.9,-618,,,44.35,27.32,45.6913
3507,3865.91,-3147.9,-619,,,44.35,27.32,45.6913
3954,3896.28,-3155.7,-620,,,44.35,27.32,45.6913
4601,3892.18,-3160.1,-621,,,44.35,27.32,45.6913
5002,3906.16,-3160.1,-620,,,44.35,27.32,45.6913
5033,3910.14,-3159.1,-621,,,44.35,27.32,45.6913
5082,3915.34,-3159.1,-621,,,44.35,27.32,45.6913
5098,3906.39,-3159.1,-621,,,44.35,27.32,45.6913
5069,3899.51,-3159.1,-621,,,44.35,27.32,45.6913
4909,3872.37,-3159.1,-621,,,44.35,27.32,45.6913
4961,3845.2,-3159.1,-620,,,44.35,27.32,45.6913
4970,3766.02,-3163,-620,,,44.35,27.32,45.6913
5137,3673.58,-3168.1,-619,,,44.35,27.32,45.6913
5146,3564.61,-3171.1,-619,,,44.35,27.32,45.6913
4919,3453.52,-3175.1,-619,,,44.35,27.32,45.6913
4889,3314.39,-3176.6,-619,,,44.35,27.32,45.6913
5075,3159.09,-3176.5,-620,,,44.35,27.32,45.6913
4588,2914.99,-3168.7,-619,,,44.35,27.32,45.6913
4279,1981.17,-3160.4,-738,,,44.29,27.55,45.7336
3656,1645.98,-3161.4,-738,,,44.29,27.55,45.7336
3527,1382.5,-3160.4,-738,,,44.29,27.55,45.7336
3396,1174.33,-3160.4,-738,,,44.29,27.55,45.7336
3298,1004.99,-3159.3,-737,,,44.29,27.55,45.7336
3273,816.99,-3158.6,-737,,,44.29,27.55,45.7336
3341,632.67,-3157.1,-737,,,44.29,27.55,45.7336
3533,484.67,-3156.9,-735,,,44.29,27.55,45.7336
4166,392.22,-3165.8,-736,,,44.29,27.55,45.7336
4745,343.3,-3170,-734,,,44.29,27.55,45.7336
5061,304.13,-3169.7,-734,,,44.29,27.55,45.7336
5112,263.56,-3169.6,-732,,,44.29,27.55,45.7336
5067,230.36,-3168.7,-730,,,44.29,27.55,45.7336
5067,205.1,-3168.6,-730,,,44.29,27.55,45.7336
5074,200.93,-3168.5,-728,,,44.29,27.55,45.7336
4923,219.7,-3168.5,-727,,,44.29,27.55,45.7336
4928,255.86,-3169.5,-725,,,44.29,27.55,45.7336
4982,273.94,-3168,-725,,,44.29,27.55,45.7336
5132,269.67,-3167.8,-724,,,44.29,27.55,45.7336
5219,266.62,-3168.6,-724,,,44.29,27.55,45.7336
5060,284.95,-3167.5,-725,,,44.29,27.55,45.7336
4946,324.37,-3168.1,-726,,,44.29,27.55,45.7336
5169,387.67,-3167.8,-726,,,44.29,27.55,45.7336
4687,476.14,-3155.9,-725,,,44.29,27.55,45.7336
4238,899.62,-3220,-727,,,42.93,27.75,44.7372
3795,912.83,-3213.5,-727,,,42.93,27.75,44.7372
3620,944.91,-3213.7,-728,,,42.93,27.75,44.7372
3464,968.73,-3227.2,-728,,,42.93,27.75,44.7372
3381,1014.79,-3279.6,-728,,,42.93,27.75,44.7372
3284,1041.02,-3207.6,-729,,,42.93,27.75,44.7372
3354,1077.27,-3264.4,-729,,,42.93,27.75,44.7372
3603,1108.61,-3426.3,-729,,,42.93,27.75,44.7372
4145,1184.88,-3437.8,-729,,,42.93,27.75,44.7372
4885,1239.95,-3439.6,-730,,,42.93,27.75,44.7372
5242,1264.21,-3437.2,-730,,,42.93,27.75,44.7372
5247,1308.02,-3435.8,-728,,,42.93,27.75,44.7372
5268,1378.47,-3429.4,-727,,,42.93,27.75,44.7372
5264,1369.11,-3412.6,-725,,,42.93,27.75,44.7372
5328,1351.64,-3385.6,-723,,,42.93,27.75,44.7372
5100,1327.44,-3349.1,-721,,,42.93,27.75,44.7372
5041,1331.42,-3296.1,-721,,,42.93,27.75,44.7372
5090,1325.53,-3261.5,-721,,,42.93,27.75,44.7372
